0.00005 0
0.00015	0
0.00025	0
0.00035	0
0.00045	0
0.00055	0
0.00065	0
0.00075	0
0.00085	0
0.00095	13
0.00105	279
0.00115	229
0.00125	210
0.00135	190
0.00145	191
0.00155	192
0.00165	190
0.00175	160
0.00185	153
0.00195	154
0.00205	124
0.00215	111
0.00225	135
0.00235	98
0.00245	124
0.00255	96
0.00265	2792
0.00275	124
0.00285	1059
0.00295	21368
0.00305	89
0.00315	13363
0.00325	1249
0.00335	1949
0.00345	204
0.00355	1318
0.00365	77
0.00375	352
0.00385	89
0.00395	73
0.00405	56
0.00415	54
0.00425	61
0.00435	58
0.00445	59
0.00455	66
0.00465	70
0.00475	48
0.00485	54
0.00495	54
0.00505	57
0.00515	53
0.00525	40
0.00535	41
0.00545	31
0.00555	43
0.00565	34
0.00575	51
0.00585	43
0.00595	39
0.00605	30
0.00615	32
0.00625	37
0.00635	61
0.00645	46
0.00655	34
0.00665	33
0.00675	39
0.00685	30
0.00695	30
0.00705	32
0.00715	21
0.00725	31
0.00735	32
0.00745	36
0.00755	31
0.00765	38
0.00775	24
0.00785	23
0.00795	37
0.00805	23
0.00815	30
0.00825	31
0.00835	24
0.00845	31
0.00855	22
0.00865	34
0.00875	21
0.00885	30
0.00895	27
0.00905	25
0.00915	17
0.00925	22
0.00935	18
0.00945	28
0.00955	26
0.00965	12
0.00975	21
0.00985	25
0.00995	16
0.01005	15
0.01015	26
0.01025	17
0.01035	7
0.01045	20
0.01055	19
0.01065	18
0.01075	13
0.01085	10
0.01095	20
0.01105	23
0.01115	23
0.01125	21
0.01135	21
0.01145	13
0.01155	21
0.01165	10
0.01175	25
0.01185	17
0.01195	13
0.01205	14
0.01215	18
0.01225	18
0.01235	13
0.01245	13
0.01255	18
0.01265	13
0.01275	16
0.01285	8
0.01295	10
0.01305	12
0.01315	12
0.01325	18
0.01335	17
0.01345	16
0.01355	5
0.01365	16
0.01375	22
0.01385	15
0.01395	10
0.01405	11
0.01415	8
0.01425	8
0.01435	12
0.01445	4
0.01455	14
